fico,dt_first_pi,flag_fthb,dt_matr,cd_msa,mi_pct,cnt_units,occpy_sts,cltv,dti,orig_upb,ltv,orig_int_rt,channel,ppmt_pnlty,amrtzn_type,st,prop_type,zipcode,id_loan,loan_purpose,orig_loan_term,cnt_borr,seller_name,servicer_name,flag_sc,id_loan_preharp,ind_afdl,ind_harp,cd_ppty_val_type,flag_int_only
817,202003,N,205002,,000,1,P,70,46,139000,70,3.875,R,N,FRM,ME,SF,04600,F20Q10000060,N,360,01,Other sellers,Other servicers,,,9,,2,N
781,202004,N,203003,24340,000,1,P,67,44,142000,67,3.25,R,N,FRM,MI,SF,49500,F20Q10000061,N,120,02,Other sellers,Other servicers,,,9,,1,N
698,202003,N,205002,21140,000,1,P,78,38,137000,78,4.25,R,N,FRM,IN,SF,46500,F20Q10000062,C,360,01,Other sellers,Other servicers,,,9,,2,N
725,202004,N,204003,31740,25,1,P,90,42,241000,90,3.25,R,N,FRM,KS,SF,66500,F20Q10000063,N,240,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
784,202003,N,205002,39100,000,2,I,75,39,157000,75,4.5,R,N,FRM,NY,SF,10900,F20Q10000064,P,360,01,Other sellers,Other servicers,,,9,,2,N
786,202003,N,205002,,30,1,P,92,21,80000,92,3.875,R,N,FRM,MI,SF,49800,F20Q10000065,N,360,01,Other sellers,Other servicers,,,9,,2,N
773,202003,N,203502,,000,1,P,75,30,200000,75,3.375,R,N,FRM,NE,SF,68800,F20Q10000066,C,180,02,Other sellers,Other servicers,,,9,,2,N
735,202003,N,203502,17020,000,1,P,42,48,192000,42,3.75,R,N,FRM,CA,SF,95900,F20Q10000067,C,180,01,Other sellers,Other servicers,,,9,,2,N
757,202004,N,205003,,000,1,P,66,22,366000,66,3.375,R,N,FRM,CO,SF,81200,F20Q10000068,N,360,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
758,202003,N,203502,24260,000,1,P,60,32,89000,60,3.75,R,N,FRM,NE,SF,68800,F20Q10000069,C,180,01,Other sellers,Other servicers,,,9,,2,N
801,202003,N,203502,30700,000,1,P,20,46,135000,20,3.25,B,N,FRM,NE,SF,68500,F20Q10000070,N,180,02,Other sellers,Other servicers,,,9,,2,N
722,202004,N,205003,40060,25,1,P,90,42,295000,90,3.75,R,N,FRM,VA,PU,23100,F20Q10000071,P,360,01,Other sellers,Other servicers,,,9,,2,N
742,202004,Y,205003,,30,1,P,95,19,48000,95,3.875,R,N,FRM,IA,CO,50500,F20Q10000072,P,360,01,Other sellers,Other servicers,,,9,,2,N
809,202003,N,205002,,000,1,S,80,36,92000,80,4.25,R,N,FRM,MI,MH,49400,F20Q10000073,P,360,01,Other sellers,Other servicers,,,9,,2,N
729,202003,N,205002,,000,1,P,63,49,393000,63,3.5,R,N,FRM,CO,SF,81200,F20Q10000074,N,360,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
773,202003,N,205002,41180,000,1,P,80,43,274000,80,3.875,R,N,FRM,MO,PU,63300,F20Q10000075,N,360,01,Other sellers,Other servicers,,,9,,2,N
713,202003,N,203502,36420,6,1,P,85,45,293000,85,3.375,R,N,FRM,OK,SF,74800,F20Q10000076,N,180,02,Other sellers,Other servicers,,,9,,2,N
682,202003,N,205002,,000,1,P,62,43,136000,62,4,R,N,FRM,WY,MH,82400,F20Q10000077,N,360,02,Other sellers,Other servicers,,,9,,2,N
738,202003,N,204002,36540,000,1,P,80,43,187000,80,4,R,N,FRM,NE,SF,68100,F20Q10000078,C,240,02,Other sellers,Other servicers,,,9,,2,N
803,202003,N,205002,49660,000,1,P,79,33,225000,79,4,R,N,FRM,OH,SF,44400,F20Q10000079,C,360,01,Other sellers,Other servicers,,,9,,2,N
762,202003,N,205002,,000,1,S,75,20,206000,75,3.75,R,N,FRM,NY,SF,14700,F20Q10000080,C,360,02,Other sellers,Other servicers,,,9,,2,N
767,202003,N,205002,,30,1,P,95,26,180000,95,3.625,R,N,FRM,OK,SF,74800,F20Q10000081,N,360,02,Other sellers,"PNC BANK, NA",,,9,,2,N
718,202003,N,205002,24340,000,1,P,67,33,260000,67,4.375,R,N,FRM,MI,SF,49300,F20Q10000082,C,360,02,Other sellers,Other servicers,,,9,,2,N
784,202003,N,205002,30460,000,1,P,12,18,90000,12,3.875,R,N,FRM,KY,SF,40300,F20Q10000083,C,360,02,Other sellers,Other servicers,,,9,,2,N
